id,pm10,lat,long,wojewodztwo,kod_pocztowy,gmina
931,70.6496924919284,50.096199,19.769078999999998,małopolskie,32-083,gmina Zabierzów
932,61.71762712651103,50.278289,19.553791999999998,małopolskie,32-300,gmina Olkusz
933,48.930342026424924,50.261576999999996,19.570398,małopolskie,32-300,gmina Olkusz
934,54.55843099766445,50.279545,19.570642,małopolskie,32-300,gmina Olkusz
935,70.19563607118558,50.143699,19.879804,małopolskie,32-085,gmina Wielka Wieś
936,59.766148294262635,50.283718,19.563554,małopolskie,32-305,gmina Olkusz
937,63.52387783414104,50.277549,19.561504,małopolskie,32-300,gmina Olkusz
938,51.42909945677452,50.277587,19.57159,małopolskie,32-300,gmina Olkusz
939,50.138933543946315,50.300768999999995,19.547666,małopolskie,32-300,gmina Olkusz
940,41.665296763158366,53.500277999999994,18.759458,kujawsko-pomorskie,86-300,Grudziądz
942,37.64971867634647,49.955089,20.962965,małopolskie,33-114,gmina Pleśna
943,49.73264837559909,49.939099999999996,20.903543,małopolskie,33-114,gmina Pleśna
944,43.79976663752904,49.928934999999996,20.926465999999998,małopolskie,33-171,gmina Pleśna
945,41.488118928864644,51.95919,17.505910999999998,wielkopolskie,63-200,gmina Jarocin
948,32.77824032606123,53.464073,18.726646,kujawsko-pomorskie,86-300,Grudziądz
949,54.48028665325407,49.807964,18.988082,śląskie,43-382,Bielsko-Biała
950,44.4050749912838,53.502285,18.775133,kujawsko-pomorskie,86-300,Grudziądz
953,38.77563860350053,53.465568,18.76866,kujawsko-pomorskie,86-302,Grudziądz
954,33.958290550649,53.452804,18.720397,kujawsko-pomorskie,86-300,Grudziądz
956,50.52885151321186,52.223895999999996,21.017903999999998,mazowieckie,00-549,Warszawa
957,74.76213262119771,50.11521,19.384560999999998,małopolskie,32-500,gmina Chrzanów
958,0.0,50.139655,18.637241,śląskie,44-238,gmina Czerwionka-Leszczyny
959,87.97361719001918,50.040568,18.309402,śląskie,44-360,powiat wodzisławski
960,49.8251395624971,50.342997999999994,19.615278,małopolskie,32-310,gmina Klucze
963,82.33160454790965,50.038239,18.396076,śląskie,44-370,powiat wodzisławski
964,92.50951716529003,50.063434,18.420514,śląskie,44-280,powiat wodzisławski
965,91.10286632732355,49.998650999999995,18.456556,śląskie,44-300,powiat wodzisławski
966,66.97225161565167,50.047599999999996,18.473262,śląskie,44-310,powiat wodzisławski
967,79.82982842190056,49.968464999999995,18.527687999999998,śląskie,44-325,powiat wodzisławski
968,88.54899866081392,50.153738,18.683835,śląskie,44-230,gmina Czerwionka-Leszczyny
972,74.34385011304691,49.829218999999995,19.338741,małopolskie,34-125,gmina Andrychów
973,44.74813055655561,49.812736,19.328343999999998,małopolskie,34-120,gmina Andrychów
974,56.88137346452362,49.843379,19.308920999999998,małopolskie,34-120,gmina Andrychów
975,52.129042625741356,49.826713,19.319276,małopolskie,34-120,gmina Andrychów
977,61.326846123616484,49.814403,19.391021,małopolskie,34-125,gmina Andrychów
978,68.15118803106618,49.849925,19.343958999999998,małopolskie,34-120,gmina Andrychów
979,108.02603579162033,49.874427,19.687884999999998,małopolskie,34-130,gmina Kalwaria Zebrzydowska
980,53.35648067420131,50.098053,19.465142999999998,małopolskie,32-552,gmina Chrzanów
981,49.82272775416316,49.820037,19.370468,małopolskie,34-125,gmina Andrychów
982,65.85109230430213,49.864055,19.341307999999998,małopolskie,34-120,gmina Andrychów
